Año,Nombre,Disciplina,Tipo de prueba ,Unidad de Medida,Marca,Posición,Total de competidores,"Récord (SB, PB)",Fecha de naciemiento,Edad ,"Instancia (clasificación, semifinal, final)"
,,Marcha mixta,Pruebas mixtas,Puntaje,,,,,,,
,,,,,,,,,,,
2023,Enrique Polanco,100 m,velocidad,tiempo,"10,57",15,22,,,,semifinal
,Enzo Faulbaum,200 m ,velocidad,tiempo,"21,55",13,18,,,,semifinal
,Martín Kouyouymdjian,400 m,velocidad,tiempo,"46,58",3,7,,,,final
,,800 m ,Mediofondo,tiempo,,,,,,,
,Diego Uribe ,1.500 m,Mediofondo,tiempo,3:45.56,11,12,,,,final
,Ignacio Velásquez,5.000 m  ,Fondo,tiempo,14:57.21,7,8,,,,final
,Carlos Díaz,10.000 m,Fondo,tiempo,29:22.54,4,12,,,,final
,Ignacio Velásquez,10.000 m,Fondo,tiempo,29:55.69,8,12,,,,final
,Hugo Catrileo,Maratón,Fondo,tiempo,2:12:07,2,14,,,,final
,Martín Saenz,110 m vallas,Vallas / obstáculos,tiempo,14.05,4,7,,,,final
,Cristobal Muñoz,400 m vallas,Vallas / obstáculos,tiempo,51.57,11,15,,,,semifinal
,Alfredo Sepúlveda,400 m vallas,Vallas / obstáculos,tiempo,52.34,12,15,,,,semifinal
,Mauricio Valdivia ,3.000 m con obstáculos,Vallas / obstáculos,tiempo,9:11.27,11,13,,,,final
,,4 × 100 m,Relevos,tiempo,,,,,,,
,Cristobal Muñoz,4 × 400 m,Relevos,tiempo,3:12.40,7,8,,,,
,Sergio Germain,4 × 400 m,Relevos,tiempo,3:12.41,7,8,,,,
,Martín Kouyoumdjian,4 × 400 m,Relevos,tiempo,3:12.42,7,8,,,,
,Martín Zabala,4 × 400 m,Relevos,tiempo,3:12.43,7,8,,,,
,,20 km marcha,Marcha,tiempo,,,,,,,
,Pedro Alamos,salto de altura,Saltos,distancia (m),"2,15",12,13,,,,final
,Guillermo Correa ,salto con garrocha,Saltos,distancia (m),"5,4",4,11,PB,,,final
,Cristobal Nuñez,salto con garrocha,Saltos,distancia (m),,9,11,,,,final
,Vicente Belgueri,salto largo,Saltos,distancia (m),"7,65",7,15,PB,,,final
,Luis Reyes ,salto triple,Saltos,distancia (m),"16,3",5,10,,,,final
,Matías Puschel,Peso,Lanzamientos,distancia (m),"16,2",12,13,,,,final
,Lucas Nervi,disco,Lanzamientos,distancia (m),"63,39",1,12,SB,,,final
,,martillo,Lanzamientos,distancia (m),,,,,,,
,,jabalina,Lanzamientos,distancia (m),,,,,,,
,,Decatlón,Pruebas combinadas,Puntaje,,,,,,,
,,Relevo mixto 4 × 400 m,Pruebas mixtas,Puntaje,,,,,,,
,,Marcha mixta,Pruebas mixtas,Puntaje,,,,,,,
